ticker,name,current_price,wave_stage,supply_demand_stage,final_investment_score,investment_grade,price_change_20d,institutional_trend,analysis_date
028260,삼성물산,244000.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.08685968819599109,N/A,2025-12-06
066570,LG전자,99700.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.11272321428571429,N/A,2025-12-06
000270,기아,123600.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.0870712401055409,N/A,2025-12-06
005380,현대차,315000.0,Wave 1-2 (상승 초기),수요 증가,0.81,S,0.17575056451773757,N/A,2025-12-06
012330,현대모비스,362500.0,Wave 1-2 (상승 초기),수요 증가,0.81,S,0.20632279534109818,N/A,2025-12-06
011200,HMM,20550.0,Wave 3 (상승 중기),수요 증가,0.79,A,0.017326732673267328,N/A,2025-12-06
105560,KB금융,130700.0,Wave 1-2 (상승 초기),균형,0.78,A,0.020222164938803196,N/A,2025-12-06
024110,기업은행,21050.0,Wave 1-2 (상승 초기),균형,0.768,A,0.04466501240694789,N/A,2025-12-06
003550,LG,85600.0,Wave 1-2 (상승 초기),균형,0.768,A,0.0035169988276670576,N/A,2025-12-06
018260,삼성에스디에스,176000.0,Wave 1-2 (상승 초기),균형,0.762,A,0.007441327990841442,N/A,2025-12-06
055550,신한지주,80200.0,Wave 1-2 (상승 초기),균형,0.756,A,0.017766497461928935,N/A,2025-12-06
010130,고려아연,1359000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.32456140350877194,N/A,2025-12-06
000810,삼성화재,522000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.021526418786692758,N/A,2025-12-06
009150,삼성전기,263000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.17410714285714285,N/A,2025-12-06
032830,삼성생명,158200.0,Wave 3 (상승 중기),균형,0.748,A,-0.004405286343612335,N/A,2025-12-06
005930,삼성전자,108400.0,Wave 1-2 (상승 초기),관망세,0.714,A,0.0775347912524851,N/A,2025-12-06
086790,하나금융지주,95200.0,Wave 1-2 (상승 초기),관망세,0.708,A,-0.0008396305625524769,N/A,2025-12-06
005490,POSCO홀딩스,311000.0,Wave 1-2 (상승 초기),관망세,0.702,A,0.033251018637867426,N/A,2025-12-06
033780,KT&G,143000.0,Wave 1-2 (상승 초기),관망세,0.702,A,0.02877697841726619,N/A,2025-12-06
015760,한국전력,52200.0,Wave 1-2 (상승 초기),관망세,0.6960000000000001,B,0.12864864864864864,N/A,2025-12-06
006400,삼성SDI,307500.0,Wave 1-2 (상승 초기),관망세,0.69,B,-0.023809523809523808,N/A,2025-12-06
034730,SK,264000.0,Wave 1-2 (상승 초기),관망세,0.69,B,-0.024029574861367836,N/A,2025-12-06
003670,포스코퓨처엠,206000.0,Wave 1-2 (상승 초기),관망세,0.69,B,-0.01904761904761905,N/A,2025-12-06
323410,카카오뱅크,22000.0,Wave 3 (상승 중기),관망세,0.688,B,0.013824884792626729,N/A,2025-12-06
017670,SK텔레콤,54400.0,Wave 3 (상승 중기),관망세,0.688,B,0.00927643784786642,N/A,2025-12-06
035720,카카오,61500.0,Wave 3 (상승 중기),관망세,0.6759999999999999,B,-0.012841091492776886,N/A,2025-12-06
009540,HD한국조선해양,432000.0,Wave 3 (상승 중기),관망세,0.664,B,0.0176678445229682,N/A,2025-12-06
096770,SK이노베이션,114600.0,Wave 4 (조정),균형,0.6299999999999999,B,-0.04896265560165975,N/A,2025-12-06
068270,셀트리온,183300.0,Wave 4 (조정),관망세,0.6,B,0.05587557603686636,N/A,2025-12-06
000100,유한양행,117300.0,Wave 4 (조정),관망세,0.5940000000000001,C,0.02445414847161572,N/A,2025-12-06
047810,한국항공우주,106200.0,Wave 4 (조정),관망세,0.5820000000000001,C,0.04940711462450593,N/A,2025-12-06
010950,S-Oil,80500.0,Wave 4 (조정),관망세,0.5820000000000001,C,0.0189873417721519,N/A,2025-12-06
078930,GS,58400.0,Wave 4 (조정),관망세,0.5820000000000001,C,0.026362038664323375,N/A,2025-12-06
090430,아모레퍼시픽,124300.0,Wave 4 (조정),관망세,0.576,C,-0.014274385408406027,N/A,2025-12-06
051910,LG화학,381500.0,Wave 4 (조정),관망세,0.5700000000000001,C,-0.03904282115869018,N/A,2025-12-06
000660,SK하이닉스,544000.0,Wave 4 (조정),관망세,0.5700000000000001,C,-0.10166733391398816,N/A,2025-12-06
011170,롯데케미칼,72900.0,Wave 4 (조정),관망세,0.5640000000000001,C,-0.010854816824966078,N/A,2025-12-06
035420,NAVER,249500.0,Wave 4 (조정),관망세,0.5640000000000001,C,-0.04038461538461539,N/A,2025-12-06
207940,삼성바이오로직스,1641000.0,Wave 4 (조정),관망세,0.5640000000000001,C,-0.12588687226302814,N/A,2025-12-06
005830,DB손해보험,125200.0,Wave 5 (하락),균형,0.5099999999999999,C,-0.10826210826210826,N/A,2025-12-06
